age,income,expences,investment_knowledge,financial_goal,risk_tolerance
31,50365.38464980348,3909.41341786913,basic,long-term,medium
53,78791.69840321178,4137.973270150773,advanced,short-term,medium
52,102991.93295705467,4601.656713996367,none,long-term,medium
42,66051.43951483724,3563.61775995017,none,long-term,medium
43,81812.3050257672,2862.146903270559,basic,long-term,medium
56,74724.44089465616,3025.854418876543,basic,short-term,medium
54,102447.55593094493,3035.4930744975118,basic,short-term,medium
63,61444.27814013231,2549.669031803281,basic,long-term,medium
59,98070.63744015737,3817.805169201884,none,long-term,medium
41,67499.78743260371,2870.483451950916,basic,long-term,medium
46,61117.08092985012,3694.852821201847,basic,short-term,medium
54,77197.20146086498,3341.3255562893637,advanced,long-term,medium
20,81849.13836015029,3458.378506707485,basic,short-term,medium
54,113230.59213018857,4056.056647828856,none,long-term,medium
56,81390.75157737429,2958.100875611452,none,short-term,medium
33,78865.56123698772,4138.8910459367735,none,long-term,medium
22,106922.85887803267,5067.307866638952,basic,short-term,medium
20,87021.07888423074,3843.1090829517584,none,long-term,medium
24,62114.49639664104,2717.904314727531,basic,long-term,medium
45,102119.40770616384,2884.9819886602036,basic,short-term,medium
33,60207.62461141295,3251.7370992148844,none,short-term,medium
58,62015.05443332581,2905.109702930434,none,short-term,medium
46,58029.58601224173,2508.81969038995,none,short-term,medium
28,56275.099434440875,3654.407276961692,advanced,long-term,medium
34,81663.46589679648,3278.802668274201,none,long-term,medium
34,69841.95670912914,3689.720883558058,basic,long-term,medium
45,30000.0,4686.387412215288,advanced,long-term,medium
61,69634.73876100975,3263.6471660756406,basic,long-term,medium
32,64641.75488388731,2314.579995319689,advanced,short-term,medium
51,92856.5072859771,3101.107507746449,basic,short-term,medium
58,63734.827770792734,4270.425217116643,advanced,long-term,medium
51,125785.15582421786,4176.770270716955,none,long-term,medium
23,102935.87157540486,4018.639647613567,none,short-term,medium
49,67201.79217980444,2875.2932768378964,basic,short-term,medium
56,97992.46157666165,4251.902618032698,advanced,long-term,high
42,85504.23425381896,4476.899078037066,advanced,long-term,medium
58,79669.31592960485,2804.578370110024,none,short-term,medium
64,91053.0451121486,3458.4299024574752,none,long-term,medium
34,76081.41748520972,5520.401963682112,advanced,long-term,medium
62,79807.02312154956,2760.1257235366124,none,short-term,medium
48,91467.0503255793,1794.9133307562752,basic,short-term,medium
55,116049.0548349098,4882.904434464799,advanced,long-term,high
32,80023.89944439348,4636.60477170456,basic,long-term,medium
51,65924.06670055687,3043.032676422575,basic,short-term,medium
26,34415.38289812022,3387.0082181319135,basic,long-term,medium
41,114226.06943927276,2275.064949811048,none,long-term,medium
47,69735.1657485608,3588.952272609702,advanced,long-term,medium
21,85696.18580162534,4665.913715371401,basic,long-term,medium
61,113118.14473853988,2957.395158241722,advanced,long-term,high
64,79552.04641860984,4377.101978786292,none,long-term,medium
25,71106.5947624504,3963.723857390432,advanced,long-term,medium
47,103393.45955087489,4077.8168908811394,basic,long-term,medium
47,84214.74135127838,3015.6908194136317,none,long-term,medium
63,86722.11209446802,3145.3758170665055,none,long-term,medium
63,44536.782590564784,1653.2275655285985,basic,short-term,medium
39,99118.3041448517,2933.3305874898942,basic,long-term,medium
49,82511.7613598329,4663.485458031259,advanced,long-term,medium
30,47568.21240553752,2570.6678058977263,none,short-term,medium
47,84701.8822322655,2719.698346143095,none,long-term,medium
44,33749.48652176501,4140.189823707124,basic,long-term,medium
58,121839.50405025991,3902.7682919930935,basic,short-term,medium
52,52962.90400036478,4189.863249796301,basic,short-term,medium
20,107235.85531436872,2336.779459909596,advanced,short-term,high
46,58740.889037626934,6064.057949300346,advanced,short-term,medium
32,86204.5142194144,2284.2466258327495,advanced,long-term,medium
60,56757.43486781003,3654.247313734068,basic,short-term,medium
22,94942.30443795641,3341.3445041314135,basic,long-term,medium
58,70293.62516185496,2313.3584826349525,basic,long-term,medium
25,84355.5909241542,3129.79057718675,basic,long-term,medium
27,75301.2876315799,3523.3076008858698,advanced,long-term,medium
46,47686.70427032688,2850.02678813653,none,short-term,medium
28,85082.13719381069,4437.223621534849,basic,long-term,medium
56,64935.25028668504,3338.374254537529,none,short-term,medium
52,95906.25586015222,2158.7253289817136,basic,long-term,medium
61,70282.80383698647,2073.874467330703,advanced,long-term,medium
63,73464.72181943335,4106.165090611456,basic,short-term,medium
43,108658.52928745873,2013.2292172996638,none,short-term,medium
34,122632.735890159,3816.4260730490837,advanced,long-term,high
51,90720.67911424166,3944.655185666959,basic,long-term,medium
51,69257.1980515323,2504.6446360759833,none,long-term,medium
43,67506.77343287712,4390.738083774891,none,short-term,medium
60,58626.4602936284,1782.2063762383677,none,long-term,medium
31,62495.23632892887,3796.4589339985587,none,short-term,medium
58,69527.80512992063,3459.1420664039915,advanced,long-term,medium
21,114285.059339898,3381.002024269106,basic,long-term,medium
22,71055.56658292952,2322.103357019427,advanced,long-term,medium
56,50478.93991603795,2562.9779956000743,basic,long-term,medium
36,75833.30534250765,5118.802025020598,none,short-term,medium
21,78562.56851522128,4715.155008871754,basic,long-term,medium
21,75712.70919700911,4242.084588523799,none,long-term,medium
47,90993.82445170415,4439.848103529688,basic,short-term,medium
42,76380.11022718067,4346.013544671268,advanced,long-term,medium
56,90374.54984294658,3176.6437877137914,basic,short-term,medium
51,59393.132918845695,3547.6035518143512,basic,long-term,medium
52,110614.58876290446,2027.4916219589911,none,long-term,medium
20,80049.5957668717,3410.304373192474,none,long-term,medium
38,83004.37940814075,4683.414249539187,none,short-term,medium
21,59309.76212373395,2839.2927517428643,basic,long-term,medium
63,84436.53982532791,4523.1412046872265,none,long-term,medium
45,88021.30113340609,3591.5857386937632,basic,long-term,medium
51,51604.6313234982,2114.6281343302676,basic,long-term,medium
25,41818.16823224687,2392.6804866536886,basic,short-term,medium
51,80873.32047218931,4419.302869707755,none,long-term,medium
23,65224.60353088935,4052.5240852583847,none,long-term,medium
30,80198.42938271459,3601.7640729876252,advanced,long-term,medium
36,49179.2785820377,3225.9681857520545,basic,long-term,medium
57,43789.881712346585,3710.5679776285856,basic,long-term,medium
43,79133.78926002154,4380.296249253249,none,long-term,medium
24,68004.32478086295,4975.853280487285,advanced,long-term,medium
53,32786.00957699643,5023.684199440605,basic,short-term,medium
25,101861.9763621546,3871.959900758498,basic,short-term,medium
41,48846.858636324854,3328.0683096354796,advanced,short-term,medium
30,126466.49904220864,3646.2480078188555,none,short-term,medium
35,62519.66542222843,4022.12035725508,basic,long-term,medium
52,83031.21136251997,4018.0669438450914,basic,long-term,medium
28,107938.9802077437,4807.986637140105,none,long-term,medium
25,104588.6785565765,5615.755721916655,advanced,long-term,high
35,114722.72812453765,3294.7453703859137,basic,long-term,medium
48,44538.47522239294,5655.884908824462,basic,long-term,medium
22,52282.69004985506,4672.239246758393,none,long-term,medium
39,79519.9454818806,3399.177009814792,none,long-term,medium
55,91794.94875795428,4998.56483886508,basic,long-term,medium
38,74775.45113240724,5185.648301419165,basic,short-term,medium
45,42240.119285732224,3039.704555806153,none,short-term,medium
22,84931.56317929599,5232.215252485648,basic,long-term,medium
38,71114.9722353193,4575.082821035963,basic,long-term,medium
39,70875.22082088266,5868.5591279791915,none,short-term,medium
51,30000.0,3075.961418000501,basic,long-term,medium
26,90949.68408956629,3146.573256264004,none,long-term,medium
60,77904.08120570917,1500.0,advanced,short-term,medium
52,110903.29113277927,4071.1939205679623,basic,short-term,medium
59,73509.84706937654,3875.2512556187185,none,long-term,medium
58,86326.80261038044,2937.0063284643334,basic,long-term,medium
37,91636.36352210525,3418.149268511942,basic,short-term,medium
59,40076.76882677618,2188.778989824885,basic,long-term,medium
20,127333.99893203187,4698.444952831686,basic,long-term,medium
30,66384.15224154766,3010.30052547169,basic,long-term,medium
47,84891.3320428497,6594.049015620952,none,short-term,medium
44,87811.64013898303,3324.3986992889672,none,short-term,medium
42,58704.31744019405,2740.38115895169,none,long-term,medium
50,111939.60662895205,3087.6868812651383,basic,long-term,medium
49,80319.10538708865,2088.039023455749,advanced,long-term,medium
61,70730.54726185332,3982.271890702942,basic,short-term,medium
54,77770.15924776884,3080.1003002208777,none,long-term,medium
26,90285.04397218047,4631.252790397738,basic,short-term,medium
35,75215.963296194,3225.2525048255825,advanced,short-term,medium
45,92638.59820766479,4884.4421116856465,basic,short-term,medium
21,41302.55722064521,4257.455749317041,advanced,short-term,medium
20,60040.600203470196,3528.5967767183442,none,long-term,medium
31,32223.993703813703,5080.232587350822,none,long-term,low
24,114940.16313685892,4452.293461037209,advanced,short-term,high
56,114679.84255369869,6446.212826663225,basic,long-term,medium
51,87532.3213506597,3090.5447550217955,basic,short-term,medium
28,54747.63858173937,3576.6161054584604,basic,long-term,medium
60,122797.56544436648,5068.709011010929,advanced,long-term,high
54,62911.71043736576,1956.4621881648875,basic,short-term,medium
38,70735.85746189671,4816.943563232562,basic,long-term,medium
35,78190.66811461444,3939.3027576814707,basic,short-term,medium
22,84030.31884037939,2611.7892445527523,basic,short-term,medium
39,87876.05203408637,2136.9603414488784,basic,short-term,medium
43,88679.23274948902,2827.510526869716,advanced,long-term,medium
52,72109.5182929219,1500.0,advanced,long-term,medium
43,88362.01903513425,3010.4605563084965,advanced,short-term,medium
30,71215.84681008646,4122.556333342582,none,long-term,medium
27,86586.06873744441,3023.699359031172,basic,long-term,medium
55,84945.83555661551,4888.312701433808,basic,long-term,medium
57,90256.94581596242,5159.947602725288,basic,long-term,medium
59,87759.33398041931,4775.644482625774,basic,long-term,medium
39,66151.35250177405,3730.640910264365,advanced,short-term,medium
54,84174.20343118026,1500.0,basic,short-term,medium
44,88067.99475829773,2796.302507967394,basic,long-term,medium
54,49177.512221025885,3357.961473225613,none,short-term,medium
44,69519.11285537941,2606.1323504951893,basic,long-term,medium
48,87162.27782436667,3360.494524513429,basic,long-term,medium
37,109185.84989459244,5110.06746869338,basic,short-term,medium
37,91498.00372257468,1854.223470484682,none,short-term,medium
21,110447.55973955191,5311.692056119026,none,short-term,medium
54,67032.53219646103,4384.726421754137,basic,long-term,medium
35,80003.80984495286,3768.2168082776957,none,long-term,medium
60,91114.70599052237,2786.383444259236,none,short-term,medium
55,30000.0,2626.0496545085743,none,short-term,low
52,105216.06436229052,1873.7822854112603,none,short-term,medium
23,37781.80238290707,5216.765480314387,none,long-term,low
52,94938.80136556806,5037.611560074041,basic,short-term,medium
33,88736.63581085292,2093.715371416718,basic,long-term,medium
40,30000.0,2947.3720050937986,advanced,short-term,medium
39,30000.0,3933.1447692319084,basic,short-term,medium
27,103649.63834905012,3200.490861827792,basic,long-term,medium
26,99294.44119373096,1581.3252429681822,none,long-term,medium
22,57382.72711023479,2842.2272394443116,none,long-term,medium
36,57362.42209911872,5451.0342980200185,basic,long-term,medium
52,85252.09944752442,2910.021409585556,none,short-term,medium
31,74745.11699023264,3336.532663297793,basic,long-term,medium
41,96087.90431698228,2354.822575964619,basic,short-term,medium
41,84591.61848866174,4087.762985283748,basic,short-term,medium
49,106660.6158791307,3615.151799024584,none,long-term,medium
57,94401.55555827453,2757.9802584430213,basic,long-term,medium
57,89415.46098281155,2195.344604192575,basic,long-term,medium
64,67957.50559392651,4904.543374010876,none,long-term,medium
27,66493.5753167631,1894.4565933589197,basic,long-term,medium
46,73964.82030589398,4003.815695589555,basic,short-term,medium
46,111818.86139874416,1500.0,advanced,short-term,high
53,66874.50541220431,4207.211683012382,none,long-term,medium
40,80210.57974148032,4470.298887260061,advanced,short-term,medium
49,30103.941845853813,4594.783711639913,basic,long-term,medium
52,88516.17460088161,3338.7915314301317,basic,long-term,medium
47,120143.96562186278,5084.003605563696,none,short-term,medium
52,56327.23781474151,5807.791694996068,basic,long-term,medium
24,138488.84274253517,3178.3768639540367,none,long-term,medium
38,78644.81209313306,3048.9949698700725,basic,short-term,medium
23,30000.0,3649.1772603449353,none,long-term,low
54,67289.23520064178,3022.319854105793,advanced,long-term,medium
36,101608.77126538166,2876.1298039898793,basic,short-term,medium
63,114986.34412499607,2963.26145975849,basic,long-term,medium
47,89361.97096503367,5215.756008006245,none,long-term,medium
49,106351.88841757935,4271.881995035432,none,short-term,medium
48,51444.28917015293,3019.053872741909,basic,long-term,medium
25,61394.76825612184,1500.0,basic,short-term,medium
54,41410.81435996419,1955.5355063935324,none,long-term,medium
60,62898.738480161934,4003.429082601878,basic,long-term,medium
56,90238.37972871332,1500.0,advanced,short-term,high
43,79253.11524766039,3792.9935274519557,basic,short-term,medium
48,92356.98073326364,2434.4362751349745,basic,long-term,medium
50,56269.719650065264,3591.805774580673,advanced,long-term,medium
54,57489.499463762666,3563.856301334143,none,long-term,medium
52,79092.20419049826,3620.589933890711,basic,short-term,medium
40,62947.04389389369,3105.578152921479,advanced,long-term,medium
51,101036.9833632019,3072.714374392268,none,long-term,medium
42,62451.62231245046,2779.2095810635615,basic,long-term,medium
52,65092.21514137506,3983.89231724189,basic,short-term,medium
22,83376.78827736973,4305.192674780948,basic,long-term,medium
37,67214.23616545014,2281.0274774638738,basic,long-term,medium
44,50301.112129251735,3448.371527707731,advanced,short-term,medium
61,53012.88350335823,3696.582073487738,basic,long-term,medium
50,85755.3191681391,3683.771134623042,none,short-term,medium
22,47825.769708758795,3666.7696195965177,advanced,long-term,medium
59,102943.28855097623,3097.9651896547757,none,long-term,medium
43,61192.014313965,3779.030425462539,basic,short-term,medium
51,87324.3163393612,4118.02871098362,basic,long-term,medium
41,62391.74751940732,3641.036655822564,basic,long-term,medium
42,56695.1724000727,4005.939836533724,basic,short-term,medium
21,79922.07364580364,4490.353411037507,advanced,long-term,medium
46,96035.669340318,1649.0596421047321,basic,long-term,medium
61,70052.64498279791,4443.463841865368,basic,long-term,medium
21,73690.4529248508,3842.4277652212745,none,short-term,medium
45,91148.34722165602,2388.374672261273,advanced,long-term,high
36,91810.54500503113,4302.470882319689,advanced,long-term,high
59,74230.16559960518,3101.679093976038,basic,short-term,medium
52,66130.40215029422,3238.033563681447,none,long-term,medium
28,76653.11918890063,2992.3202175343376,none,long-term,medium
62,71181.77017223314,3802.3988442382247,none,long-term,medium
58,81259.48303633703,2714.646857487947,none,long-term,medium
48,51114.591463084944,4401.474629947786,basic,long-term,medium
61,80543.63158717494,3361.1374128053285,advanced,long-term,medium
45,60633.93167658502,3135.7975165120624,basic,short-term,medium
54,93117.75222981007,4252.87567761397,none,long-term,medium
44,61550.64301258969,3180.4432376809195,none,long-term,medium
43,61897.80465618135,4448.176825362301,none,long-term,medium
32,83907.97648823481,4479.592950840865,none,long-term,medium
26,75284.23777632395,2165.196161781023,none,long-term,medium
55,120533.03252797674,4609.260202222924,none,long-term,medium
64,42413.94778891496,2037.9640284981144,basic,long-term,medium
39,77197.05893909489,4671.580526882511,advanced,long-term,medium
20,97592.98969944741,5528.357192230239,basic,long-term,medium
27,63433.72154145398,4374.834438269131,basic,short-term,medium
35,56788.843105202395,1500.0,advanced,short-term,medium
33,57582.70704707343,4563.565719386019,none,long-term,medium
31,42760.77640699831,5746.128965936012,none,short-term,medium
42,101994.0925462139,3196.968359001971,advanced,short-term,high
34,68407.65316387183,3465.29667997011,none,short-term,medium
47,66039.4572039954,2311.513278073568,basic,short-term,medium
53,32518.03851339653,3812.079418819669,basic,short-term,medium
21,46325.82855076231,4769.177182543129,basic,long-term,medium
51,104307.79511038188,4197.737128149454,basic,short-term,medium
42,81062.11332201157,6641.966977287799,basic,long-term,medium
41,98330.01659850212,3533.027042965797,none,long-term,medium
44,95799.8487965966,1869.3266325847358,none,long-term,medium
41,54987.59438854119,3670.9709715682193,basic,short-term,medium
41,123596.95457307938,1500.0,basic,long-term,medium
61,113994.6519120246,2966.896075135486,none,long-term,medium
25,63724.6711575393,5124.382058600212,advanced,long-term,medium
34,30000.0,3825.1336486317714,basic,long-term,medium
62,67869.35820111846,3679.416812831269,advanced,long-term,medium
56,79765.92524242897,5320.780376715356,basic,short-term,medium
52,63645.61930448619,3229.40010833663,basic,long-term,medium
27,70569.55806630566,4761.820412934109,basic,long-term,medium
63,58426.839273244106,3629.30697516634,advanced,long-term,medium
63,93432.69436707695,3880.0474634590264,none,long-term,medium
24,76272.6648073711,2282.695144136987,basic,short-term,medium
58,94030.28125885908,3017.9532051717833,none,long-term,medium
23,99444.06692415875,2102.4817671561264,basic,short-term,medium
25,31513.52871826705,3404.754921774655,basic,short-term,medium
64,59589.55578331794,3890.402343916267,advanced,short-term,medium
51,62519.41412718913,2389.961894908548,advanced,short-term,medium
49,126427.44719377566,5549.178922684823,none,long-term,medium
54,77980.10733800649,3778.1060190919607,none,short-term,medium
59,91251.21192726129,3557.795585585219,basic,short-term,medium
35,37386.16461450978,4269.657751345625,basic,long-term,medium
32,77864.30904995043,2671.071919134078,none,long-term,medium
61,94565.85964232516,3663.477479167453,basic,long-term,medium
49,92239.30170120312,2783.1337796424086,basic,long-term,medium
38,87467.98877832704,5058.679910088983,advanced,long-term,medium
36,75260.01012990251,2441.3606506029187,none,short-term,medium
38,76231.37241250902,3563.1654593071735,basic,short-term,medium
47,41134.67650580421,3829.3157851517753,basic,long-term,medium
45,56989.34229625713,3894.825744407701,basic,short-term,medium
56,79618.87912776327,2918.7648269171677,basic,long-term,medium
45,60680.48386147589,2604.4905978549023,basic,short-term,medium
42,88776.76494065569,2933.204826953901,none,short-term,medium
28,84335.65100529724,4028.3254342102823,advanced,long-term,medium
31,102347.40509443988,3356.1542290880366,basic,long-term,medium
20,94165.07652305142,4296.208808452521,none,long-term,medium
20,79545.22818269135,3977.003719395073,basic,long-term,medium
53,89959.60868123831,1500.0,none,short-term,medium
51,95102.04324599312,3747.497796837211,none,short-term,medium
44,64851.25428184035,5750.45476781627,advanced,long-term,medium
59,68413.38003360396,4825.269051038331,basic,long-term,medium
64,73063.47925213179,3922.013160706969,basic,short-term,medium
20,65489.38911671301,2440.607869530056,none,long-term,medium
35,95313.73890126968,3977.553716125646,basic,short-term,medium
58,62453.78916645392,4239.749939878259,none,long-term,medium
24,100033.02942799649,3246.253319172416,basic,short-term,medium
41,67660.53602239235,3816.7420588044374,advanced,long-term,medium
48,84447.93285678717,5009.66245839604,basic,long-term,medium
22,78328.30297525777,2642.725580258274,basic,short-term,medium
31,55480.40383416666,2441.700395040873,basic,long-term,medium
45,74602.2054101842,4192.699325994213,advanced,long-term,medium
35,81672.87062901194,3957.5426361980803,basic,short-term,medium
56,73714.14625779004,4528.838295412812,basic,short-term,medium
41,48145.86882987432,4069.7938119037694,basic,short-term,medium
48,109028.58487052342,2932.2449368258062,none,short-term,medium
33,76753.98965723472,3932.1926514654047,none,long-term,medium
47,59113.948496729565,2357.8734567038264,basic,long-term,medium
24,107415.36046934548,3249.681288267006,none,long-term,medium
49,87347.7961944065,4002.799230966404,none,short-term,medium
24,50996.60007196781,3139.4857832761104,advanced,short-term,medium
31,54110.10507200243,5968.052182229827,basic,short-term,medium
35,70552.10560224316,1607.8157511763332,basic,long-term,medium
45,80946.13957699644,2952.509643001189,basic,long-term,medium
45,87455.99662927844,2562.2201661300896,basic,short-term,medium
40,94003.56959057135,2799.6511925420464,none,long-term,medium
58,85791.44812800286,2857.0017765191214,basic,long-term,medium
55,101934.91957281991,2173.579313141007,none,long-term,medium
52,77535.8631936094,4252.702148572627,basic,long-term,medium
49,59807.212390435554,2952.9047026128987,basic,long-term,medium
56,74932.98260682053,3663.5733355886546,basic,long-term,medium
42,73620.38679308417,3065.1742380897554,basic,long-term,medium
29,30000.0,2809.11958771379,basic,long-term,medium
24,63772.66281808683,5172.27923608685,none,short-term,medium
55,81284.07465900901,4422.932182209408,basic,short-term,medium
53,66515.68869576427,1631.7996000448552,none,short-term,medium
50,62075.812763540016,1525.8625516641132,none,long-term,medium
29,93227.52391609128,4542.608835636487,none,short-term,medium
38,56669.08350449121,2980.1466084512463,basic,long-term,medium
51,89232.45300941647,1850.9176660657774,basic,long-term,medium
20,48345.1105842343,4545.735132540341,none,long-term,medium
24,130215.23871452369,3669.1240500990903,basic,short-term,medium
64,70686.28946197485,3751.5710848323197,basic,long-term,medium
23,68534.69421407887,4309.539272005907,none,long-term,medium
35,97861.31805779837,2190.0228417176063,advanced,long-term,high
43,66625.90318387102,1868.4991786158357,basic,short-term,medium
35,104098.55616651333,5080.954294903202,basic,long-term,medium
21,82431.87660973053,2062.8332392577076,basic,short-term,medium
47,72632.04198907541,2277.7622029244358,none,short-term,medium
51,70499.8819325925,2477.564620454234,basic,long-term,medium
46,99151.84340860524,5579.945923690522,basic,long-term,medium
39,79609.74429207006,3993.3833004115227,advanced,long-term,medium
43,83646.1746238154,4465.40797443538,none,long-term,medium
31,85820.03745207257,3696.1675455787286,basic,long-term,medium
54,77658.72370445382,2898.1127887987664,basic,long-term,medium
52,85397.44452699966,4131.291283260168,none,short-term,medium
52,72633.53154638018,1943.3840292031966,basic,long-term,medium
62,74003.82736346849,2404.716547903505,basic,short-term,medium
56,52617.70143946582,4232.975179261481,advanced,long-term,medium
31,80955.20501836794,2142.74476917322,basic,long-term,medium
22,40609.17986575559,3310.9185308381266,basic,short-term,medium
20,80671.16141221827,3356.4876556445884,advanced,long-term,medium
52,69387.67967670372,2971.3379966628377,advanced,long-term,medium
59,82491.70218901956,1548.881525151143,none,long-term,medium
29,54023.43331836648,2871.0711088113076,basic,long-term,medium
62,32612.852639227156,2675.0316230675144,basic,long-term,medium
63,67982.69386052921,3661.4398632876987,advanced,long-term,medium
48,54081.74662285803,3610.4905386994687,basic,short-term,medium
32,39388.86633579035,3877.9614599368742,none,long-term,low
31,90359.6653938914,2824.0137270256023,basic,long-term,medium
